id lat lon data
8 31.48666 -83.57368 0.00000
12 31.52344 -83.63895 0.00000
16 31.55747 -83.56733 0.00000
22 31.59111 -83.65479 0.00000
26 31.62629 -83.61213 0.00000
31 31.67103 -83.69823 0.00000
32 31.67276 -83.64213 0.00000
34 31.69171 -83.69269 0.00000
37 31.70929 -83.75401 0.25400
39 31.70492 -83.70538 0.00000
40 31.71093 -83.67384 0.00000
43 31.72600 -83.71640 1.01600
50 31.75201 -83.69294 2.03200
52 31.75631 -83.75166 1.27000
63 31.52136 -83.54757 0.00000
66 31.67192 -83.60213 0.00000
67 31.56675 -83.70344 0.00000
